Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D4.0mm_H5.0mm_P1.50mm,1,100uF,
C2,0805,1,100nF,
C3,C_Radial_D4.0mm_H5.0mm_P1.50mm,1,470uF,
C4,1206,1,100nF,
C5,1206,1,10uf,
"D1, D2",1206,2,D_Schottky,
J1,PinSocket_1x14_P2.54mm_Vertical,1,TFT,
J11,PinSocket_1x02_P2.54mm_Vertical,1,Vibr1,
J12,PinSocket_1x02_P2.54mm_Vertical,1,Vibr2,
J13,JST_ZH_B6B-ZR-SM4-TF_1x06-1MP_P1.50mm_Vertical,1,FNTBTNS,
"J2, J4",PinSocket_1x01_P2.54mm_Vertical,2,Conn_01x01,
J3,112JTDARR01,1,Micro_SD_Card,
J7,PinSocket_1x03_P2.54mm_Vertical,1,PosSwitch,
J8,PinSocket_1x04_P2.54mm_Vertical,1,ROTENCODER,
J9,PinSocket_1x07_P2.54mm_Vertical,1,audio,
"Q2, Q3",SOT-23,2,AO3400A,C20917
"R10, R4, R5, R6, R7, R8, R9",1206,7,10k,
U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,1,ESP32-S3-DEVKITC-1-N8R2,
