Designator,Mid X,Mid Y,Rotation,Layer
C1,161.95,-27.7,0.0,top
C2,101.2,-58.6,270.0,bottom
C3,97.5,-63.95,270.0,top
C4,171.3,-49.0,270.0,bottom
C5,167.4,-49.0,270.0,bottom
D1,130.0,-25.5,180.0,bottom
D2,124.5,-25.5,180.0,top
J1,98.1,-43.11,180.0,top
J11,140.7,-28.3,90.0,top
J12,129.4,-28.4,90.0,top
J13,152.05,-27.9,0.0,top
J2,119.8,-30.6,0.0,top
J3,181.475,-46.9,90.0,top
J4,119.8,-25.4,0.0,top
J7,170.76,-28.0,90.0,top
J8,181.0,-30.87,180.0,top
J9,115.34,-63.6,90.0,top
Q2,135.1,-28.8,180.0,top
Q3,124.3,-28.4,180.0,top
R10,126.0,-36.5,0.0,bottom
R4,170.1,-53.1,180.0,bottom
R5,168.8,-44.83,0.0,bottom
R6,169.6,-42.3,0.0,bottom
R7,169.9,-39.6,0.0,bottom
R8,169.9,-56.2,180.0,bottom
R9,136.5,-25.5,0.0,bottom
U1,141.365,-46.365,270.0,top
